su_id,xgb_prob
680,0.024976842
681,0.004433607
682,0.009674368
683,0.005122606
684,0.003879592
685,0.005520739
686,0.85509634
687,0.282982
688,0.00604948
689,0.9707159
690,0.96294445
691,0.014358995
692,0.0110038165
693,0.9901765
694,0.006736587
695,0.0052214805
696,0.008468359
697,0.028720615
698,0.55308515
699,0.019420782
700,0.006793892
701,0.0016753544
702,0.0056397906
703,0.051764857
704,0.9685144
705,0.25521937
706,0.0018837228
707,0.0017562212
708,0.9866933
709,0.011596034
710,0.006080905
711,0.007873022
712,0.7577331
713,0.9664147
714,0.005927272
715,0.0035111248
716,0.0055078478
717,0.0016117156
718,0.8343229
719,0.006903083
720,0.20971376
721,0.77602834
722,0.38091388
723,0.9852288
724,0.98649
725,0.959625
726,0.8783754
727,0.9986297
728,0.021752153
729,0.006161895
730,0.0053862277
731,0.011937245
732,0.90264016
733,0.5244917
734,0.0023544827
735,0.002543372
736,0.9811276
737,0.0022932224
738,0.003809677
739,0.022376554
740,0.0074705826
741,0.004752042
742,0.8962284
743,0.6389725
744,0.6553334
745,0.006923685
746,0.30543783
747,0.0028773695
748,0.005267689
749,0.0054721334
750,0.9882543
751,0.9499463
752,0.97259414
753,0.0069112107
754,0.0072099525
755,0.003999849
756,0.009974125
757,0.8093081
758,0.0066378918
759,0.012580288
760,0.49318075
761,0.97266364
762,0.0047946665
763,0.0076726573
764,0.0074246014
765,0.9952768
766,0.0048108646
767,0.022953993
768,0.9289858
769,0.010464211
770,0.0077754394
771,0.010214086
772,0.015648033
773,0.006702041
774,0.0077798036
775,0.007587949
776,0.0017328365
777,0.0044142376
778,0.01296612
779,0.003167597
780,0.008408495
781,0.0091104815
782,0.009290738
783,0.01706443
784,0.010782654
785,0.010663769
786,0.9769637
787,0.96983284
788,0.97196203
789,0.00897367
790,0.7563655
791,0.99707687
792,0.9421321
793,0.014566519
794,0.99738866
795,0.007698954
796,0.0040183156
797,0.013378731
798,0.005675338
799,0.6359229
800,0.79363066
801,0.008661222
802,0.989199
803,0.9768638
804,0.018925743
805,0.013199002
806,0.010141946
807,0.010431241
808,0.047729902
809,0.016276415
810,0.008722657
811,0.7107594
812,0.0035926637
813,0.005129089
814,0.9638981
815,0.008385162
816,0.6211177
817,0.013095461
818,0.9969309
819,0.46657428
820,0.0045619304
821,0.98458755
822,0.4169522
823,0.97636205
824,0.0023690162
825,0.004033635
826,0.0047155977
827,0.0029048007
828,0.9958983
829,0.98055446
830,0.96219593
831,0.9904917
832,0.013016202
833,0.00542024
834,0.0027823404
835,0.01581621
836,0.0024353745
837,0.9908303
838,0.91455716
839,0.64682734
840,0.10135592
841,0.009227243
842,0.99654824
843,0.0080112815
844,0.010275156
845,0.9952041
846,0.57294375
847,0.9868173
848,0.0194643
849,0.010318862
850,0.002576664
851,0.014736372
852,0.90538234
853,0.015018226
854,0.94985884
855,0.01597598
856,0.01144662
857,0.011811706
858,0.003232984
859,0.0072337193
860,0.008785884
861,0.9937655
862,0.012289247
863,0.023749141
864,0.021877542
865,0.9961669
866,0.004625222
867,0.0029847908
868,0.008323856
869,0.011335098
870,0.0064474517
871,0.0057969065
872,0.0104785105
873,0.0043226476
874,0.011390265
875,0.04157318
876,0.012774483
877,0.0040396866
878,0.01165941
879,0.0090877935
880,0.0042082984
881,0.005512831
882,0.004504044
883,0.0040244157
884,0.010657649
885,0.006330176
886,0.0035432964
887,0.005775187
888,0.011533367
889,0.0035003903
890,0.0019329184
891,0.0042741927
892,0.0031282743
893,0.005059552
894,0.0029357793
895,0.99792576
896,0.019273104
897,0.005384726
